特征名称,数量,均值,标准差,最小值,25分位数,中位数,75分位数,最大值
均方根_RMS,1746.0,0.019871395276507355,0.006194364820310306,0.013787556439638138,0.014903240138664842,0.01690466795116663,0.025573585648089647,0.03210895135998726
峰值_Peak,1746.0,0.06484540053915322,0.013322823315486577,0.04181713983416557,0.05419742036610842,0.06103835441172123,0.0742423590272665,0.10584549605846405
峰峰值_PeakToPeak,1746.0,0.12137443612394737,0.024503759509958648,0.0809025764465332,0.1020956039428711,0.11207103729248047,0.14068007469177246,0.19397974014282227
偏度_Skewness,1746.0,-0.11217979618308442,0.11784358095383264,-0.42051348090171814,-0.1648694910109043,-0.12157043069601059,-0.04681050218641758,0.12964089214801788
峭度_Kurtosis,1746.0,2.676887864099745,0.34885109577561985,2.061434030532837,2.295062780380249,2.7872201204299927,2.956886947154999,3.3621387481689453
峰值因子_CrestFactor,1746.0,3.376791061653246,0.4805442385290546,2.383063769960495,2.9732998297029605,3.3796872758862317,3.697285725712271,5.293434554891362
频率重心_Hz,1746.0,1096.0552237507045,353.53888036796917,565.2953252866328,650.0912066608159,1186.6557458228713,1421.8811729637532,1629.9891425051128
0到1kHz能量占比,1746.0,0.6599279432157471,0.1635673172604823,0.4056774973869324,0.5050165355205536,0.6229058504104614,0.8585095703601837,0.9015492796897888
1到3kHz能量占比,1746.0,0.250237199148208,0.13438672206315216,0.05960538610816002,0.096117177978158,0.27514077723026276,0.3763620927929878,0.48323601484298706
3到5kHz能量占比,1746.0,0.08979808398546973,0.03479106707298746,0.03491396829485893,0.04854045156389475,0.09826216101646423,0.11797505244612694,0.17160990834236145
一倍频能量占比,1746.0,0.0923893787756238,0.042951187805842804,0.026503900066018105,0.042227436788380146,0.10167039558291435,0.13102076575160027,0.1500876247882843
二倍频能量占比,1746.0,0.0026139219102549994,0.0012685707346363454,0.0005973136867396533,0.001443380257114768,0.002414203016087413,0.0037417493294924498,0.005982513539493084
三四倍频能量占比,1746.0,0.4978631638237974,0.24627859907819133,0.19028706848621368,0.254060797393322,0.43886598944664,0.8016782104969025,0.8375581502914429
