样本编号,均方根_RMS,峰值_Peak,峰峰值_PeakToPeak,偏度_Skewness,峭度_Kurtosis,峰值因子_CrestFactor,频率重心_Hz,0到1kHz能量占比,1到3kHz能量占比,3到5kHz能量占比,一倍频能量占比,二倍频能量占比,三四倍频能量占比
0,0.030230948701500893,0.09624630212783813,0.1697063446044922,-0.16499345004558563,2.1720948219299316,3.1837010169606765,626.0939016733673,0.8767468929290771,0.07631701976060867,0.04692433774471283,0.043979331851005554,0.0011932554189115763,0.8153875470161438
1,0.030333345755934715,0.08057332783937454,0.15391826629638672,-0.13201089203357697,2.099167823791504,2.6562624672207193,612.8851717331119,0.8853112459182739,0.066724993288517,0.047962941229343414,0.040981583297252655,0.0013426017249003053,0.8199159502983093
2,0.03122681938111782,0.07441549748182297,0.14787912368774414,-0.11740073561668396,2.061433792114258,2.3830636278133834,601.8750418169922,0.890714168548584,0.06337384879589081,0.04591115564107895,0.04325713962316513,0.0011407558340579271,0.8291677236557007
3,0.030686035752296448,0.09262736886739731,0.16613006591796875,-0.1379081904888153,2.1597704887390137,3.0185511615799645,590.2161772338281,0.8877048492431641,0.07243402302265167,0.039860501885414124,0.0414109006524086,0.0010692354990169406,0.8233062028884888
4,0.030142296105623245,0.09258197247982025,0.16141653060913086,-0.14499551057815552,2.269550323486328,3.0714970137751707,615.4547253996499,0.8769572973251343,0.07989000529050827,0.043152112513780594,0.04375234246253967,0.001219253521412611,0.8132764101028442
5,0.03104162961244583,0.08384629338979721,0.15346288681030273,-0.13194778561592102,2.1837024688720703,2.70109187030177,607.355844493658,0.8839675188064575,0.07213104516267776,0.043901242315769196,0.042748067528009415,0.0008898786036297679,0.8188567161560059
6,0.03133467584848404,0.08391062170267105,0.15640974044799805,-0.1190090999007225,2.096717119216919,2.677883827671788,612.1149605951063,0.8836710453033447,0.07074769586324692,0.045572273433208466,0.04036574810743332,0.0009786654263734818,0.8251824975013733
7,0.031164247542619705,0.08928734064102173,0.17082452774047852,-0.12152967602014542,2.105292320251465,2.865056841691711,601.7294028126486,0.8867368698120117,0.06858682632446289,0.04467497393488884,0.04162892699241638,0.0008884034468792379,0.8203049302101135
8,0.03036007657647133,0.08948453515768051,0.17082452774047852,-0.13211558759212494,2.18039870262146,2.94744102273057,623.4111502838759,0.8761440515518188,0.07699771970510483,0.04685825854539871,0.042755354195833206,0.0013075991300866008,0.8099822998046875
9,0.03067239373922348,0.07983190566301346,0.15714645385742188,-0.1296921819448471,2.1336894035339355,2.6027282493548154,640.8171235909472,0.8691638112068176,0.0840943232178688,0.04673660919070244,0.043934691697359085,0.0013639359967783093,0.805062472820282
10,0.031258538365364075,0.08264414221048355,0.16001224517822266,-0.13856802880764008,2.0905697345733643,2.64389016664366,629.0918004140018,0.8789128661155701,0.07495691627264023,0.04609942063689232,0.040977105498313904,0.0014346035895869136,0.8216671347618103
11,0.030863340944051743,0.0826617106795311,0.1571059226989746,-0.1394781768321991,2.0631258487701416,2.678313758277167,590.2770272765663,0.8955087065696716,0.059953488409519196,0.04453543201088905,0.04230011627078056,0.0015213360311463475,0.834245502948761
12,0.03076479397714138,0.08618521690368652,0.15918254852294922,-0.13878120481967926,2.108466625213623,2.8014235026219185,582.8456216767223,0.8921988010406494,0.06838484853506088,0.03941646218299866,0.044920992106199265,0.0018241871148347855,0.8270208835601807
13,0.03090478852391243,0.08621517568826675,0.15918254852294922,-0.1322731375694275,2.158327102661133,2.7897028196380793,624.1633390487214,0.8776383996009827,0.07967381924390793,0.042687542736530304,0.040156640112400055,0.0017263941699638963,0.8151729106903076
14,0.030843406915664673,0.08494192361831665,0.16503334045410156,-0.11280059069395065,2.1400575637817383,2.7539734455347276,639.3114193664208,0.8752169609069824,0.07678116858005524,0.04799686372280121,0.043348461389541626,0.0016598151996731758,0.809017539024353
15,0.030412832275032997,0.10424893349409103,0.1842021942138672,-0.12120956182479858,2.23958420753479,3.4277943122135652,662.4074097074275,0.8636712431907654,0.08423648774623871,0.052090298384428024,0.04276047274470329,0.0013648754684254527,0.8030299544334412
