样本编号,均方根_RMS,峰值_Peak,峰峰值_PeakToPeak,偏度_Skewness,峭度_Kurtosis,峰值因子_CrestFactor,频率重心_Hz,0到1kHz能量占比,1到3kHz能量占比,3到5kHz能量占比,一倍频能量占比,二倍频能量占比,三四倍频能量占比
0,0.03075806237757206,0.09797250479459763,0.1716916859149933,-0.16428618133068085,2.1742923259735107,3.1852625691679215,630.0584008138018,0.875328779220581,0.07695665210485458,0.04770119488239288,0.04411337152123451,0.0011763916118070483,0.813809335231781
1,0.030067063868045807,0.07822912931442261,0.1507815569639206,-0.1332722157239914,2.1029229164123535,2.6018213702256405,614.6528329750957,0.8845022320747375,0.06717299669981003,0.04832177981734276,0.041262391954660416,0.0013353052781894803,0.8187869787216187
2,0.02945125661790371,0.07114330679178238,0.14066925644874573,-0.11781475692987442,2.0610387325286865,2.4156289054952595,603.562781208783,0.8900572061538696,0.06378479301929474,0.046157680451869965,0.04318912699818611,0.001149142743088305,0.8284541368484497
3,0.03185049071907997,0.09597404301166534,0.1737375557422638,-0.13492487370967865,2.1688647270202637,3.013267326244334,595.7551331737757,0.8856475949287415,0.07337401807308197,0.04097648337483406,0.04067157953977585,0.0010460671037435532,0.8213647603988647
4,0.028961772099137306,0.08820278197526932,0.15398603677749634,-0.143502876162529,2.271240234375,3.045489815688839,615.8791389233303,0.8766191005706787,0.08020022511482239,0.04318006709218025,0.04396887868642807,0.0012394883669912815,0.8125569820404053
5,0.02815997786819935,0.07572401314973831,0.1388281285762787,-0.13199590146541595,2.1833994388580322,2.6890650802876968,606.8762382606784,0.8841269016265869,0.07201098650693893,0.04386194050312042,0.04288138821721077,0.000918119796551764,0.8184235692024231
6,0.03007827140390873,0.08146467804908752,0.14998474717140198,-0.12151576578617096,2.0987281799316406,2.708422866208748,614.5831168316881,0.8826847672462463,0.07109227776527405,0.04621793329715729,0.040543872863054276,0.0009699962101876736,0.8236967325210571
7,0.0325176827609539,0.09318362921476364,0.17808115482330322,-0.1181555762887001,2.108161449432373,2.8656294452749154,602.1355815339896,0.8865538835525513,0.06868302077054977,0.04476313665509224,0.04148358479142189,0.0009074567933566868,0.8201223611831665
8,0.03181974217295647,0.0939345434308052,0.1779502034187317,-0.13146625459194183,2.1772563457489014,2.9520837383681853,622.8526964215472,0.8759735226631165,0.07740046828985214,0.04662472382187843,0.042947299778461456,0.0012849923223257065,0.8096953630447388
9,0.031020086258649826,0.07973271608352661,0.1578618288040161,-0.12876300513744354,2.132598638534546,2.5703576520108196,640.6325772891868,0.8692699074745178,0.08404450863599777,0.04668151214718819,0.04391978681087494,0.0013515916652977467,0.8052805662155151
10,0.032868411391973495,0.08610707521438599,0.16811661422252655,-0.13880358636379242,2.0955820083618164,2.6197516571425683,629.7049912474403,0.8786755800247192,0.07497391104698181,0.046317555010318756,0.041129935532808304,0.0013854586286470294,0.8210321068763733
11,0.02861737459897995,0.07883182168006897,0.1478353887796402,-0.14047393202781677,2.068068742752075,2.7546839212889993,595.0213831634951,0.89391028881073,0.0607888288795948,0.04530009999871254,0.042320266366004944,0.0014491630718111992,0.8324125409126282
12,0.0281993355602026,0.07926890254020691,0.1466389298439026,-0.13032442331314087,2.1060547828674316,2.8110202230887733,586.9730964468872,0.8909658193588257,0.0683021992444992,0.04073026776313782,0.04510071873664856,0.0019096819451078773,0.8250393271446228
13,0.033780016005039215,0.09409545361995697,0.17077744007110596,-0.13220711052417755,2.161450147628784,2.785536087464687,626.7274930583579,0.8763884902000427,0.080764539539814,0.04284662380814552,0.040209271013736725,0.0018006603932008147,0.8130761981010437
14,0.032826587557792664,0.08912105113267899,0.17222407460212708,-0.11005496233701706,2.1391189098358154,2.7149045258835547,641.8574310015987,0.8739567995071411,0.07770752161741257,0.048335231840610504,0.04352577403187752,0.0017272888217121363,0.8079522848129272
15,0.03324349224567413,0.11441249400377274,0.20089313387870789,-0.12111721932888031,2.2386136054992676,3.4416508697343375,660.956165512641,0.8640163540840149,0.08427204191684723,0.05171028897166252,0.042675573378801346,0.0013688975013792515,0.8034840822219849
16,0.03294019401073456,0.11195358633995056,0.20832198858261108,-0.13188137114048004,2.2278711795806885,3.3986923786808423,652.6717368879046,0.8654122352600098,0.08259884268045425,0.05197697877883911,0.041356220841407776,0.001077447202987969,0.7996522188186646
17,0.0277398768812418,0.08059938997030258,0.1507711112499237,-0.13235710561275482,2.129822254180908,2.9055424547287663,626.7795671880741,0.8731929063796997,0.0796450823545456,0.04713656008243561,0.04424390569329262,0.0011681565083563328,0.8120364546775818
18,0.03209808096289635,0.08396215736865997,0.15825143456459045,-0.14686702191829681,2.096078872680664,2.6157999122470876,628.6844680188665,0.8727432489395142,0.08059908449649811,0.04665543511509895,0.0415705107152462,0.001088749268092215,0.8065952658653259
19,0.030635274946689606,0.08565204590559006,0.16389654576778412,-0.12237779051065445,2.1304407119750977,2.7958634630125823,631.8146997542398,0.8760889768600464,0.0767923891544342,0.047113511711359024,0.0422636978328228,0.0008128331392072141,0.8160452842712402
20,0.032751988619565964,0.09142433106899261,0.18217380344867706,-0.1020699068903923,2.1385223865509033,2.791413129997991,619.5728886400336,0.8801358342170715,0.07544074952602386,0.044421177357435226,0.042253416031599045,0.0008282748167403042,0.8196070790290833
21,0.032232049852609634,0.08808784186840057,0.17574086785316467,-0.13225047290325165,2.1439309120178223,2.7329270793658726,625.8894770084661,0.8761955499649048,0.07792288810014725,0.04588063433766365,0.03983062878251076,0.0010906148236244917,0.8200339078903198
22,0.03074345551431179,0.10041188448667526,0.17387574911117554,-0.17201702296733856,2.211836099624634,3.2661222625630058,637.974752030457,0.8669208884239197,0.08835062384605408,0.04471777006983757,0.0418720580637455,0.0009072547545656562,0.8007979393005371
23,0.029653698205947876,0.09739423543214798,0.17561817169189453,-0.17319458723068237,2.284583568572998,3.2843874903039403,705.769784776333,0.845285952091217,0.09594584256410599,0.058768101036548615,0.041532963514328,0.0012701136292889714,0.7843092679977417
24,0.03239123150706291,0.08669876307249069,0.1732681691646576,-0.13904206454753876,2.2362165451049805,2.676612127294679,710.9313982009357,0.8482009768486023,0.09124232828617096,0.0605524480342865,0.04089260473847389,0.0014343052171170712,0.7886747717857361
25,0.033029139041900635,0.09213673323392868,0.17696812748908997,-0.15943576395511627,2.207775115966797,2.789559034955614,622.3980755899669,0.8763040900230408,0.08020906895399094,0.04348684474825859,0.04120231792330742,0.0015605650842189789,0.8183420896530151
26,0.03336765989661217,0.09243569523096085,0.1802314817905426,-0.1630679816007614,2.1446938514709473,2.770218094843854,597.7199566807985,0.8908056616783142,0.06326378136873245,0.04592983052134514,0.04408583045005798,0.0012713997857645154,0.8265212774276733
27,0.03178506717085838,0.08291108906269073,0.15911205112934113,-0.12815435230731964,2.1079959869384766,2.6084918623704505,609.2102338967064,0.887319028377533,0.06553194671869278,0.04714486747980118,0.04376649856567383,0.0015479521825909615,0.8195862174034119
28,0.032918501645326614,0.09226691722869873,0.180037260055542,-0.1275256872177124,2.139491558074951,2.802889336216031,597.6295365417843,0.8837276101112366,0.07596094906330109,0.040311433374881744,0.03997185081243515,0.0013608088484033942,0.8225817680358887
29,0.03195047378540039,0.08783292770385742,0.1734408438205719,-0.1334109753370285,2.1414389610290527,2.7490336541188696,600.9212390400331,0.8773822784423828,0.0846349447965622,0.037973418831825256,0.04311119019985199,0.0016505587846040726,0.8118308186531067
30,0.02839536964893341,0.07755474001169205,0.15259763598442078,-0.117558553814888,2.1855251789093018,2.7312460083390366,643.4512733409216,0.8630363345146179,0.09221913665533066,0.044742401689291,0.03988251835107803,0.001500966725870967,0.8054667711257935
31,0.029138265177607536,0.0838615819811821,0.16269569098949432,-0.13322433829307556,2.1436307430267334,2.878056791203576,634.3003480661413,0.8699772357940674,0.08443275839090347,0.04558848589658737,0.04002515599131584,0.0014132099458947778,0.8093422651290894
32,0.0294448584318161,0.08675161004066467,0.16150130331516266,-0.15008002519607544,2.174713611602783,2.9462396716426587,677.5154271443026,0.8574016690254211,0.08731572329998016,0.055281076580286026,0.043426692485809326,0.0014694967539981008,0.7944028973579407
33,0.02855272963643074,0.07784827798604965,0.1490934193134308,-0.13662230968475342,2.201866626739502,2.7264741050885624,684.4221596097442,0.8526297807693481,0.09346624463796616,0.0538964681327343,0.040585391223430634,0.0012068123323842883,0.7884780168533325
34,0.03112035058438778,0.09191349893808365,0.16506057977676392,-0.13238643109798431,2.176419734954834,2.95348533063251,617.7032330396779,0.8731970191001892,0.08647313714027405,0.040329717099666595,0.04212251678109169,0.0009510924573987722,0.8141738176345825
35,0.031137511134147644,0.08856695890426636,0.17209270596504211,-0.12214925140142441,2.1791696548461914,2.844381444613698,636.3436597349775,0.8650482892990112,0.09169070422649384,0.04326013848185539,0.039853692054748535,0.0006986178923398256,0.8032328486442566
36,0.034315381199121475,0.09189151227474213,0.18098631501197815,-0.12528876960277557,2.170045852661133,2.6778520028335526,640.932618629187,0.8646344542503357,0.09085015207529068,0.044509030878543854,0.04073278233408928,0.0009344450081698596,0.8071566820144653
37,0.03298201039433479,0.08738196641206741,0.16976547241210938,-0.14451712369918823,2.1474404335021973,2.6493826593550325,609.6430988487768,0.8773466944694519,0.08119096606969833,0.04145779460668564,0.043259210884571075,0.0008461253601126373,0.80996173620224
38,0.03202638775110245,0.08746769279241562,0.16873988509178162,-0.17494507133960724,2.147041082382202,2.7311132766346278,620.886351065852,0.8766328692436218,0.07870635390281677,0.04466089978814125,0.04098150506615639,0.0012400033883750439,0.8116442561149597
39,0.027777062729001045,0.07259634137153625,0.14273300766944885,-0.13308727741241455,2.1338388919830322,2.613535566275964,646.1365924613864,0.8716055154800415,0.07894057780504227,0.04945329576730728,0.04314982146024704,0.0010812276741489768,0.8096111416816711
40,0.029813047498464584,0.07691492140293121,0.1537827104330063,-0.13377700746059418,2.141974925994873,2.579908055501959,649.611945196326,0.8654444217681885,0.08926976472139359,0.045284535735845566,0.041260335594415665,0.001416381448507309,0.8073868155479431
41,0.031179552897810936,0.08153203874826431,0.15552261471748352,-0.14358332753181458,2.1382250785827637,2.614920073192378,622.2394542994812,0.8668823838233948,0.09646593779325485,0.0366516076028347,0.043691281229257584,0.0013175681233406067,0.80290687084198
42,0.02953326888382435,0.0971347987651825,0.1683463454246521,-0.1534663885831833,2.217207431793213,3.2889958488508246,637.5861200026019,0.8664759397506714,0.08940132707357407,0.04412129521369934,0.04414774850010872,0.0015432372456416488,0.7985377907752991
43,0.03357485309243202,0.10806398093700409,0.1817849576473236,-0.13929294049739838,2.192704439163208,3.2185987720120144,635.3909997525635,0.8744804263114929,0.07688810676336288,0.048629939556121826,0.03984306380152702,0.0017685543280094862,0.8078489303588867
