特征名称,数量,均值,标准差,最小值,25分位数,中位数,75分位数,最大值
均方根_RMS,1746.0,0.019904905183929927,0.0063355664926090394,0.012711616232991219,0.014931856654584408,0.016623069532215595,0.025684197898954153,0.03442924842238426
峰值_Peak,1746.0,0.06493583432946008,0.01387236852955071,0.04038691148161888,0.05403972044587135,0.061358967795968056,0.07409435883164406,0.11441249400377274
峰峰值_PeakToPeak,1746.0,0.12155998291240798,0.025600741379019125,0.0785006433725357,0.1013709045946598,0.11376329883933067,0.14007999375462532,0.21063904464244843
偏度_Skewness,1746.0,-0.11206743903778493,0.11758675233210283,-0.4194372296333313,-0.16533038392663002,-0.12108241394162178,-0.046516609378159046,0.13126009702682495
峭度_Kurtosis,1746.0,2.6774028875573803,0.3482125064815631,2.0610387325286865,2.297109007835388,2.787443161010742,2.9554587602615356,3.365522623062134
峰值因子_CrestFactor,1746.0,3.376714035508606,0.48083613437388206,2.4075190719726614,2.962716808284593,3.381513945886426,3.6979066737260213,5.296652824054241
频率重心_Hz,1746.0,1097.4650220036056,353.1900981284025,569.2988125957429,651.8188671694697,1187.5468707029895,1423.141045810694,1630.770453621887
0到1kHz能量占比,1746.0,0.6594706157740858,0.16340351304111483,0.4071526825428009,0.5046613663434982,0.623479813337326,0.8582388460636139,0.8999360799789429
1到3kHz能量占比,1746.0,0.25037558559426465,0.13424886977394357,0.0607888288795948,0.09634113684296608,0.2749186158180237,0.37635238468647003,0.481870174407959
3到5kHz能量占比,1746.0,0.09011610341978442,0.03476177134146613,0.03557286784052849,0.0489510465413332,0.09838765487074852,0.11798870749771595,0.17171679437160492
一倍频能量占比,1746.0,0.0922866162330868,0.042909370961305746,0.026634713634848595,0.042221919633448124,0.1011396162211895,0.130851399153471,0.15072481334209442
二倍频能量占比,1746.0,0.002612883799425609,0.0012684962555753981,0.0005774149904027581,0.0014386502734851092,0.0024502952583134174,0.0037288235034793615,0.00584038533270359
三四倍频能量占比,1746.0,0.4974111544751356,0.24603768024576908,0.18986640870571136,0.25403139740228653,0.43900737166404724,0.8007737100124359,0.8355635404586792
