样本编号,均方根_RMS,峰值_Peak,峰峰值_PeakToPeak,偏度_Skewness,峭度_Kurtosis,峰值因子_CrestFactor,频率重心_Hz,0到1kHz能量占比,1到3kHz能量占比,3到5kHz能量占比,一倍频能量占比,二倍频能量占比,三四倍频能量占比
0,0.010444726794958115,0.03043847717344761,0.06017608195543289,-0.26905557513237,2.424767255783081,2.914243499909126,487.504234139321,0.8706967830657959,0.12562759220600128,0.0036687273532152176,0.1308300793170929,0.0013598321238532662,0.6976173520088196
1,0.007704132702201605,0.021268272772431374,0.04189911484718323,-0.023280641064047813,2.338158130645752,2.760631675463342,536.3259775095596,0.8537729978561401,0.14010606706142426,0.005561394151300192,0.14316150546073914,0.0006724561098963022,0.5670924782752991
2,0.010377339087426662,0.03194117918610573,0.05624338984489441,-0.2599921226501465,2.5317115783691406,3.0779739308825476,426.35389345893776,0.9068183898925781,0.08925938606262207,0.0038768539670854807,0.10496058315038681,0.0021541679743677378,0.7156111001968384
3,0.013494549319148064,0.03715173155069351,0.07224301993846893,-0.06001242995262146,2.4402077198028564,2.753091686820844,342.4089211695471,0.9732511639595032,0.024199120700359344,0.0025493893772363663,0.031552910804748535,0.0005787468398921192,0.8301353454589844
4,0.010636013001203537,0.03282299265265465,0.06502577662467957,0.1321881115436554,2.6029999256134033,3.0860241187985085,557.2854217738065,0.8367748856544495,0.1587873101234436,0.004392231814563274,0.10287456959486008,0.0025389816146343946,0.655968189239502
5,0.009806378744542599,0.0259263813495636,0.049757424741983414,0.11651507765054703,2.3365108966827393,2.643828269568744,422.0619544505499,0.9032772779464722,0.09181723743677139,0.004903895314782858,0.26831889152526855,0.001175230834633112,0.5574439764022827
6,0.008647946640849113,0.024077044799923897,0.04540060833096504,-0.21931041777133942,2.172435998916626,2.7841342918803806,383.00898730510795,0.9068683981895447,0.08860291540622711,0.004442127887159586,0.35337376594543457,0.0020732705015689135,0.3994865417480469
7,0.013695829547941685,0.035731248557567596,0.06681446731090546,-0.13198313117027283,2.1765213012695312,2.6089145188236262,464.8650312754387,0.9057905673980713,0.09126799553632736,0.00292799505405128,0.011660158634185791,0.0002481290139257908,0.8710862994194031
8,0.013030861504375935,0.03474733233451843,0.06706210970878601,-0.3787747025489807,2.406172513961792,2.666541450093939,376.40816127945664,0.9374628663063049,0.05925478786230087,0.0032218610867857933,0.18287032842636108,0.002988889580592513,0.6624650359153748
9,0.0093668969348073,0.026446551084518433,0.050995782017707825,0.04144817218184471,2.394537925720215,2.8234057944440374,487.57246177720043,0.8786466121673584,0.11619269102811813,0.005116417538374662,0.12619070708751678,0.001857432653196156,0.6477486491203308
10,0.010327296331524849,0.030059002339839935,0.05630289018154144,0.26674866676330566,2.560218572616577,2.910636179303961,356.47529833966956,0.932543933391571,0.06266286224126816,0.004654799588024616,0.3480302095413208,0.0017598069971427321,0.4892740845680237
11,0.01325964368879795,0.037464823573827744,0.06774097681045532,0.19490085542201996,2.181243658065796,2.825477399717264,425.5538064499701,0.9230439066886902,0.07302048057317734,0.0038520933594554663,0.09902220219373703,0.0008672940311953425,0.7928646802902222
12,0.011702164076268673,0.030353790149092674,0.05779891088604927,0.09845930337905884,2.084733724594116,2.593861267767949,388.9860607368959,0.9573239088058472,0.03871006518602371,0.00395952956750989,0.05737965926527977,0.0004144845879636705,0.8058661222457886
13,0.008283773437142372,0.024535831063985825,0.04584731161594391,-0.2495543360710144,2.543126344680786,2.9619147900655234,540.9081548712122,0.8226897716522217,0.1715088039636612,0.005685475189238787,0.23898473381996155,0.002989973407238722,0.4931447505950928
14,0.012980354018509388,0.035076502710580826,0.06877551972866058,-0.027430295944213867,2.3394174575805664,2.7022762751971996,424.98351424039004,0.9178221821784973,0.07908390462398529,0.0030914838425815105,0.07355400919914246,0.0006035389960743487,0.7871493697166443
