特征名称,数量,均值,标准差,最小值,25分位数,中位数,75分位数,最大值
均方根_RMS,1746.0,0.010099489393058358,0.0021147809003724317,0.005560668651014566,0.008596282452344894,0.009799733757972717,0.011331763118505478,0.01800655573606491
峰值_Peak,1746.0,0.02896805739676727,0.004975990162277864,0.016251415014266968,0.025389515329152346,0.028651947155594826,0.032291483134031296,0.046436138451099396
峰峰值_PeakToPeak,1746.0,0.054788635550802926,0.009088000551897213,0.032100554555654526,0.048243612982332706,0.05413143150508404,0.06083669979125261,0.08830180764198303
偏度_Skewness,1746.0,-0.01907606511420929,0.19741646132338936,-0.760175883769989,-0.14409511163830757,-0.015569500159472227,0.11032595485448837,0.6356830596923828
峭度_Kurtosis,1746.0,2.4663929446319806,0.22545720282088558,1.7163290977478027,2.3186049461364746,2.4764612913131714,2.6245990991592407,3.164473056793213
峰值因子_CrestFactor,1746.0,2.8996064404358783,0.275687400528183,2.103230831293204,2.7148990967312026,2.8755734218054174,3.08028475201278,4.025768748561484
频率重心_Hz,1746.0,482.83859198620604,92.69514106077598,305.41535321886835,418.2487660878747,464.9240859116411,531.6689953977537,985.5738296178752
0到1kHz能量占比,1746.0,0.8750027265199135,0.0616156092170152,0.5634704828262329,0.8403678983449936,0.8876442611217499,0.919718012213707,0.9800269603729248
1到3kHz能量占比,1746.0,0.11990688332620014,0.060328803614374246,0.01775354892015457,0.07612566277384758,0.10733668878674507,0.15353141725063324,0.4262438118457794
3到5kHz能量占比,1746.0,0.004999928192938556,0.0015564158506977735,0.0019931099377572536,0.0038030269206501544,0.004844438983127475,0.005941379233263433,0.011606366373598576
一倍频能量占比,1746.0,0.12760736219076574,0.10647552792298232,0.0001683861337369308,0.04315793327987194,0.10030151158571243,0.18518558144569397,0.596585214138031
二倍频能量占比,1746.0,0.001903665371905048,0.002004957728987134,9.920286174747162e-06,0.0005477621452882886,0.0012176395393908024,0.0025954075972549617,0.014503471553325653
三四倍频能量占比,1746.0,0.6373698775830411,0.16113114365482664,0.10712116956710815,0.5253178924322128,0.6613362729549408,0.7637088447809219,0.9517844915390015
