特征名称,数量,均值,标准差,最小值,25分位数,中位数,75分位数,最大值
均方根_RMS,1746.0,0.019705899173387446,0.005963611417346169,0.013678261078894138,0.014986904338002205,0.017307850532233715,0.025416044052690268,0.03226972371339798
峰值_Peak,1746.0,0.05914296195090227,0.005549161918397629,0.04295400530099869,0.05506831035017967,0.060705868527293205,0.0642797015607357,0.06441615521907806
峰峰值_PeakToPeak,1746.0,0.11177179796401442,0.010947249547957536,0.08423436433076859,0.10312183201313019,0.11199455708265305,0.1240321695804596,0.12403217703104019
偏度_Skewness,1746.0,-0.11199289022745575,0.11667263639512057,-0.4296847879886627,-0.16330746561288834,-0.11418966203927994,-0.04044477455317974,0.1363927721977234
峭度_Kurtosis,1746.0,2.6622970735767315,0.3735463646433153,1.9653292894363403,2.2649142742156982,2.7857675552368164,2.9514328837394714,3.4279847145080566
峰值因子_CrestFactor,1746.0,3.1892967340362945,0.6668619535390233,1.9947466838011332,2.518460723620306,3.3832979739567843,3.673571094751468,4.547737636853368
频率重心_Hz,1746.0,1102.1754915581291,352.027986692396,576.6143037621499,650.5746770756339,1170.464905991651,1426.868008568078,1635.8076970394804
0到1kHz能量占比,1746.0,0.6567631260431099,0.1630292487003981,0.39789748191833496,0.5032940059900284,0.6551677584648132,0.8567309975624084,0.8981192708015442
1到3kHz能量占比,1746.0,0.25308022322079843,0.13437694822756793,0.05426198989152908,0.09770623594522476,0.24249231815338135,0.3794374167919159,0.4794653058052063
3到5kHz能量占比,1746.0,0.0901162624849862,0.03467636194577974,0.03393298760056496,0.048486278392374516,0.09906738623976707,0.11743085272610188,0.16715483367443085
一倍频能量占比,1746.0,0.09100443484925186,0.04208964001366808,0.019913064315915108,0.04181439150124788,0.10115639492869377,0.12810584157705307,0.164242684841156
二倍频能量占比,1746.0,0.0025256657523372696,0.001265015191248134,0.00045247687376104295,0.0013907365500926971,0.0023564103757962584,0.0035729858209379017,0.006447338033467531
三四倍频能量占比,1746.0,0.4959693445833688,0.24368090613301907,0.1670166552066803,0.2557676136493683,0.525975912809372,0.7991311848163605,0.8439793586730957
