轮次,判别器损失,生成器损失,Wasserstein估计,梯度惩罚,判别器更新次数,生成器更新次数
1,-0.8750978853599525,0.0942295809034948,1.3249320153284956,0.04498341339237896,81,27
2,-14.723312533931967,1.1665078851359862,16.873633246362946,0.21503207901561702,81,27
3,-28.74581600707254,0.5331065025594499,36.04915228007752,0.730333627006154,81,27
4,-14.754902462900422,-21.223401228586834,19.823824211403174,0.5068921757701003,81,27
5,-18.112239908289027,-9.06657549186989,21.6838030403043,0.3571563226941191,81,27
6,-21.671776453653973,-7.549879745200828,26.828858387323073,0.5157081815931532,81,27
7,-23.743251047016663,-9.515401080802635,29.746497801792476,0.6003246800399121,81,27
8,-25.471971723768448,-10.248247146606445,32.36276341661995,0.6890791783362259,81,27
9,-27.12892023722331,-9.961626459051061,34.92910580576202,0.7800185691427302,81,27
10,-28.448999616834854,-8.863551987542046,37.158766051869335,0.8709766540998294,81,27
11,-28.88364624682768,-9.29951540629069,38.11170401396575,0.9228057714156163,81,27
12,-28.979186164008247,-9.872852148833099,38.43117320684739,0.9451987018555771,81,27
13,-27.98158379542975,-11.565063935739023,37.084373144455895,0.9102789362271627,81,27
14,-27.12199811582212,-14.605396412037036,35.77261557402434,0.8650617367691464,81,27
15,-26.950359415124964,-15.990479928475839,35.33015046296296,0.8379791069913793,81,27
16,-26.734746744603285,-16.67175971137153,35.19733874003092,0.8462592046937825,81,27
17,-25.85015501799407,-19.28586592497649,33.96759685469262,0.8117441913963835,81,27
18,-25.11169848029996,-20.39134325804534,32.910446496657386,0.7798747854468263,81,27
19,-24.874650131037207,-21.48285922297725,32.64436891343858,0.7769718806684753,81,27
20,-24.969471825493706,-20.85071026837384,32.623952135627654,0.7654480323379422,81,27
21,-24.921497957206068,-21.70434421963162,32.70374185067636,0.7782243769845845,81,27
22,-25.10051786163707,-22.074913731327765,32.77604837770815,0.7675530406427972,81,27
23,-25.086982044172874,-23.523497616803205,32.91314518304519,0.7826163154325367,81,27
24,-25.308036191963854,-23.783318201700848,33.33731064973054,0.8029274340764976,81,27
25,-24.88659832801348,-24.796805911593967,32.74835506486304,0.7861756652961542,81,27
26,-25.22439863652359,-25.143452043886537,33.15294381129889,0.7928545302079048,81,27
27,-25.4619388109372,-26.139104560569482,33.609183346783674,0.8147244604281437,81,27
28,-25.36543634202745,-27.125460236160844,33.47732525107301,0.8111888942895112,81,27
29,-25.31298449010025,-26.982117264359086,33.44059070540063,0.8127606249885795,81,27
30,-25.556094628793222,-27.903428890086985,33.925258448094496,0.8369163885528659,81,27
31,-25.679639886926722,-28.49599633393464,34.02023612128364,0.8340596232885196,81,27
32,-25.499595218234592,-28.541903177897137,33.904463756231614,0.8404868524751545,81,27
33,-25.93201665525083,-29.145212950529874,34.55960181907371,0.8627585404449039,81,27
34,-25.526184882646724,-30.487817764282227,34.05640427860213,0.8530219484258581,81,27
35,-25.675620020171742,-31.55122220074689,34.244088844016744,0.856846891435576,81,27
36,-25.9416830510269,-31.883595219364874,34.50390526100441,0.856222211210816,81,27
37,-25.90704494052463,-32.12184962519893,34.68480371545862,0.8777758799217366,81,27
38,-25.87175060790262,-32.91304531803838,34.71842973026229,0.8846679042886805,81,27
39,-25.87122443870262,-33.73644072921188,34.68634256904508,0.8815118140644498,81,27
40,-25.84130659221131,-33.773798342104314,34.67805674046646,0.883674998342255,81,27
41,-26.142911628440576,-34.24090724521213,35.04478934959129,0.8901877671848109,81,27
42,-25.748697634096498,-35.72553514551233,34.57888374799563,0.8830186194843717,81,27
43,-26.07707635855969,-35.363159603542755,35.01960712009006,0.8942530780662725,81,27
44,-26.152396661263925,-35.73054546780057,35.199892161804954,0.9047495546164336,81,27
45,-26.15555165137774,-36.28508970472548,35.17633127283167,0.9020779636906989,81,27
46,-25.829133751951616,-36.696539843523944,34.97895257266951,0.9149818821453753,81,27
47,-26.295012132621107,-36.85813197383174,35.67132606035398,0.9376313984394073,81,27
48,-25.936037958404164,-37.08480015507451,35.017123799265164,0.9081085699575918,81,27
49,-25.918010782312464,-38.247942747893156,35.001707524429136,0.9083696824532969,81,27
50,-25.88195103774836,-38.91268355758102,35.02640976140528,0.914445882226214,81,27
