样本编号,均方根_RMS,峰值_Peak,峰峰值_PeakToPeak,偏度_Skewness,峭度_Kurtosis,峰值因子_CrestFactor,频率重心_Hz,0到1kHz能量占比,1到3kHz能量占比,3到5kHz能量占比,一倍频能量占比,二倍频能量占比,三四倍频能量占比
0,0.012316369451582432,0.04647653549909592,0.0875471830368042,-0.06412024050951004,3.034663200378418,3.7735580828448563,1756.6099728200224,0.3603820502758026,0.4858676791191101,0.13752490282058716,0.10399239510297775,0.0039572929963469505,0.15511642396450043
1,0.022553550079464912,0.06497352570295334,0.12403217703104019,-0.10681270062923431,2.7764148712158203,2.8808558063429275,720.3642182895435,0.8078591227531433,0.14451326429843903,0.04757901653647423,0.02694559097290039,0.0010133464820683002,0.6920571327209473
2,0.015484970062971115,0.060476671904325485,0.11032221466302872,-0.13877084851264954,2.9301297664642334,3.905507834660693,1200.0389077632146,0.6075301766395569,0.29882949590682983,0.08680747449398041,0.01933976821601391,0.0007683748845010996,0.49042731523513794
3,0.022074120119214058,0.0629713162779808,0.12131550163030624,-0.28556567430496216,2.583437204360962,2.8527214645495986,724.509388913798,0.8215754628181458,0.13134552538394928,0.04537613317370415,0.05375102534890175,0.001005574711598456,0.7139668464660645
4,0.027071237564086914,0.06588051468133926,0.1240321695804596,-0.10979826003313065,2.4540975093841553,2.4335981878532102,628.9901796963466,0.8561471104621887,0.10470263659954071,0.038521215319633484,0.11398150771856308,0.0014649813529103994,0.6581177711486816
5,0.01932348683476448,0.06483174860477448,0.1240321695804596,0.1574765145778656,3.098862886428833,3.3550750522303234,831.9934604178671,0.7526357173919678,0.18745212256908417,0.059823282063007355,0.11604303121566772,0.0037140739150345325,0.5273935198783875
6,0.012586220167577267,0.047798171639442444,0.08877457678318024,-0.03154020383954048,3.0371851921081543,3.797658947582632,1520.2963067037845,0.5084806680679321,0.34495213627815247,0.12052074074745178,0.02017347887158394,0.0024449985940009356,0.4100397229194641
7,0.013944330625236034,0.04677632078528404,0.09330649673938751,-0.11080005019903183,3.0174622535705566,3.3545045681343173,1720.2734876103034,0.37468376755714417,0.47890788316726685,0.13278496265411377,0.09045100212097168,0.004681822378188372,0.16664905846118927
8,0.025449078530073166,0.06466728448867798,0.1240321695804596,-0.006315029226243496,2.4190139770507812,2.5410462076149294,653.37117535102,0.8475151062011719,0.11496254801750183,0.03744573891162872,0.035692039877176285,0.0007814684649929404,0.7482842803001404
9,0.03490067273378372,0.06448344141244888,0.1240321695804596,-0.038991015404462814,1.9198907613754272,1.8476274627274312,512.6546032768227,0.9144079685211182,0.06242823600769043,0.023154260590672493,0.06036189943552017,0.0007030735723674297,0.8150425553321838
