轮次,判别器损失,生成器对抗损失,生成器特征损失,生成器残差约束损失,生成器总损失,Wasserstein估计,梯度惩罚,判别器更新次数,生成器更新次数
1,-0.4729840384773266,0.9614464469529964,0.08957206154311145,0.5109031487394262,1.6882410181893244,0.6803893636406204,0.02074053190809525,81,27
2,-2.820626620893125,0.9542743094541408,0.06398160465889507,0.4135246409310235,1.4743976518511772,3.133740158728611,0.03131135401350481,81,27
3,-2.6025894633781763,-0.5902309461876198,0.041220160477139334,0.2827811340490977,-0.2548140381221418,2.8853129119048884,0.028272345345927243,81,27
4,-1.5401930037288019,-2.387762406495986,0.023996526133958942,0.17877350747585297,-2.1922147118107036,1.739865079338168,0.019967206630188927,81,27
5,-0.041565139283552585,-6.853325366973877,0.008917539483971067,0.07456316012475225,-6.780493718606454,0.12841352415673526,0.00868483851261345,81,27
6,-0.0705447535685919,-6.495895668312356,0.004444415439610128,0.0392211779124207,-6.459555996788873,0.1196491394513919,0.004910438534240296,81,27
7,-0.05635237374147515,-6.969598416928892,0.002537191422932126,0.022948341306160996,-6.948841960341842,0.10283357125741464,0.0046481196919490615,81,27
8,-0.04737559365637509,-6.7324678456341776,0.0015864816787480205,0.014565861232026859,-6.719484647115071,0.09473558708473488,0.0047359993490160525,81,27
9,-0.04359105325959347,-6.25574994970251,0.0011762114483173246,0.010610269899997447,-6.246128046954119,0.09104799929960275,0.004745694608887497,81,27
10,-0.04148688799713129,-5.838510813536467,0.0009016372948988444,0.008133162313175422,-5.831135078712746,0.08432586693469389,0.0042838979171830474,81,27
11,-0.039377173224900974,-5.510751618279351,0.000699481116262851,0.0065428051338703545,-5.5050249099731445,0.08307679494222005,0.004369962159228039,81,27
12,-0.04137352313616394,-5.299317006711607,0.0005798809655027946,0.005509325803292019,-5.294567779258445,0.0847369447166537,0.004336342151581459,81,27
13,-0.04256499034387094,-4.719374656677246,0.0005274443667278521,0.004674247155586879,-4.715061664581299,0.08271394541234146,0.004014895488019389,81,27
