样本编号,均方根_RMS,峰值_Peak,峰峰值_PeakToPeak,偏度_Skewness,峭度_Kurtosis,峰值因子_CrestFactor,频率重心_Hz,0到1kHz能量占比,1到3kHz能量占比,3到5kHz能量占比,一倍频能量占比,二倍频能量占比,三四倍频能量占比
0,0.02542172744870186,0.06428148597478867,0.1240321695804596,0.09154152870178223,2.277655601501465,2.5286041675166553,656.6222795400254,0.8545135259628296,0.09260524809360504,0.0528809018433094,0.03218872845172882,0.0020703549962490797,0.7991135716438293
1,0.02594386413693428,0.0642801970243454,0.1240321695804596,0.061590664088726044,2.2165091037750244,2.4776647257552114,612.2241359070478,0.8775054216384888,0.07836136966943741,0.0441264845430851,0.030950872227549553,0.001129202893935144,0.8219211101531982
2,0.030417928472161293,0.06433810293674469,0.1240321695804596,-0.12048154324293137,2.0619242191314697,2.1151375575595903,628.0188703226862,0.8735328912734985,0.08279355615377426,0.043669942766427994,0.04140353202819824,0.0009571635746397078,0.8158687949180603
3,0.015561826527118683,0.058742448687553406,0.11181759089231491,-0.10577593743801117,3.135118007659912,3.7747785313897184,1381.8947802985329,0.49357306957244873,0.4244271218776703,0.08199875801801682,0.1122116893529892,0.0020339747425168753,0.2933765947818756
4,0.018190614879131317,0.06216113641858101,0.11184005439281464,-0.30854594707489014,2.748324394226074,3.4172091943124174,1109.173270552323,0.6877356171607971,0.19925054907798767,0.11299538612365723,0.0867871418595314,0.0010172688635066152,0.5627967119216919
5,0.014567232690751553,0.04788748547434807,0.09539177268743515,-0.037061657756567,2.9405770301818848,3.2873426605908165,1470.7425213102974,0.48485833406448364,0.38732340931892395,0.1277923285961151,0.1410561501979828,0.004722260870039463,0.22998809814453125
6,0.014624189585447311,0.05070233345031738,0.09497015923261642,-0.1913292407989502,3.0168495178222656,3.467018336339458,1488.812069862809,0.47740381956100464,0.39603883028030396,0.12655343115329742,0.1389782726764679,0.0036651280242949724,0.22538051009178162
7,0.014732325449585915,0.05232197418808937,0.09664341807365417,-0.10970503836870193,2.9055397510528564,3.551508169133508,1494.8606772700264,0.45722323656082153,0.42385756969451904,0.11883990466594696,0.14427994191646576,0.0034728271421045065,0.212867870926857
8,0.015633508563041687,0.059750817716121674,0.11539628356695175,0.018294386565685272,2.874343156814575,3.8219710867433374,1426.0188684266843,0.5007669925689697,0.41935181617736816,0.07987938821315765,0.11645708233118057,0.002304693451151252,0.2888866364955902
9,0.018216218799352646,0.06300816684961319,0.11416459083557129,-0.28477105498313904,2.6790771484375,3.4589048111561675,1052.8273313584973,0.7178330421447754,0.16844652593135834,0.11365225166082382,0.08435073494911194,0.001455456716939807,0.5919862985610962
10,0.018191872164607048,0.05691704526543617,0.11151149123907089,-0.29371005296707153,2.7657392024993896,3.128707411051495,1104.8054850164851,0.700467050075531,0.1759280413389206,0.12360462546348572,0.08572067320346832,0.0012684260727837682,0.5706208944320679
11,0.018139673396945,0.06378287076950073,0.1112380176782608,-0.34492015838623047,2.7579405307769775,3.5162083335373913,1072.5273260020447,0.6910179853439331,0.2010265737771988,0.10795284807682037,0.09016714990139008,0.0024362385738641024,0.5547714233398438
12,0.014239379204809666,0.05139083415269852,0.1008753776550293,-0.10680215805768967,2.8535988330841064,3.6090642302531744,1265.731093995649,0.5763447284698486,0.33747223019599915,0.08618269115686417,0.13905492424964905,0.002557026455178857,0.3362535834312439
13,0.0176357701420784,0.06232137978076935,0.12206687033176422,-0.26559633016586304,2.6967647075653076,3.5338054009072546,1034.9807318810658,0.7219755053520203,0.17127303779125214,0.10660270601511002,0.09175214171409607,0.0017248543445020914,0.5912548303604126
14,0.026296505704522133,0.06427518278360367,0.12403217703104019,0.06904912739992142,2.228083372116089,2.444248049660309,650.5934479959529,0.851754367351532,0.0992034375667572,0.04903984069824219,0.028546536341309547,0.0014007840072736144,0.8015860319137573
15,0.01464966032654047,0.04976963251829147,0.09675662964582443,-0.07837904989719391,3.02082896232605,3.3973233102700404,1456.4224471338903,0.4853951632976532,0.38986313343048096,0.12474139034748077,0.13683834671974182,0.0036821055691689253,0.24742402136325836
16,0.017550978809595108,0.06041307374835014,0.1076025664806366,-0.33732762932777405,2.7708005905151367,3.442148406667793,981.3600825364746,0.7285143733024597,0.1774405837059021,0.0940067395567894,0.0944775715470314,0.0019360323203727603,0.585668683052063
17,0.014624481089413166,0.05595232546329498,0.11165515333414078,-0.058391667902469635,3.134108781814575,3.8259357796957043,1468.2508985117167,0.49351784586906433,0.3701384365558624,0.1363421380519867,0.13948954641819,0.004353553522378206,0.22961640357971191
18,0.030552567914128304,0.0643182247877121,0.1240321695804596,-0.1208999827504158,2.0420238971710205,2.1051659214499123,608.4296425486626,0.8912189602851868,0.0613943412899971,0.04738669842481613,0.04052674025297165,0.001435265177860856,0.8288508653640747
19,0.018528249114751816,0.0627729669213295,0.11662214994430542,-0.3106096684932709,2.803988218307495,3.3879600025435206,1154.6732418184538,0.6693527698516846,0.20414331555366516,0.12647370994091034,0.07928773015737534,0.00250788195990026,0.5427283644676208
20,0.015668828040361404,0.06426224857568741,0.1124870702624321,-0.18907245993614197,3.2453744411468506,4.101279840844045,1507.928115399995,0.48342418670654297,0.38800856471061707,0.12848611176013947,0.11943039298057556,0.004135569091886282,0.24512001872062683
21,0.014521255157887936,0.0573405958712101,0.10349299013614655,-0.08466751873493195,2.8275914192199707,3.948735508315477,1337.049132804299,0.5475691556930542,0.3447105586528778,0.10760317742824554,0.13082800805568695,0.005238277371972799,0.2872456908226013
22,0.014780948869884014,0.05432146042585373,0.10338935256004333,-0.06189644709229469,2.851428985595703,3.6750996773189493,1356.5579976285626,0.5287878513336182,0.37880173325538635,0.0924094095826149,0.13398945331573486,0.0046267081052064896,0.26397886872291565
23,0.014721165411174297,0.05798855796456337,0.10619550198316574,-0.11433832347393036,2.890716075897217,3.939128210366229,1305.9868864450987,0.545699417591095,0.366862952709198,0.08714912086725235,0.13090170919895172,0.0030853315256536007,0.31470826268196106
24,0.024840645492076874,0.06050673499703407,0.12027270346879959,0.07118311524391174,2.2465267181396484,2.4357956001544885,636.0881819869365,0.8576757311820984,0.0979907438158989,0.04433213546872139,0.03416868671774864,0.0015451115323230624,0.7974098920822144
25,0.018063871189951897,0.05971166491508484,0.1166936606168747,-0.32836809754371643,2.8383336067199707,3.3055851807111045,1067.0904340920026,0.7064845561981201,0.1852327436208725,0.10827324539422989,0.08791337162256241,0.0013944884994998574,0.581448495388031
26,0.025962170213460922,0.06427609920501709,0.1240321695804596,0.03666144609451294,2.208944082260132,2.4757598719237777,645.3629146100665,0.8566380739212036,0.09868256002664566,0.04467815160751343,0.02912217751145363,0.0014421431114897132,0.8037210702896118
27,0.015314001590013504,0.05127549543976784,0.09675614535808563,-0.19298799335956573,2.999009132385254,3.348275441596996,1451.3769215890964,0.5055122375488281,0.3515762686729431,0.14282992482185364,0.1240181252360344,0.005011187866330147,0.24517972767353058
28,0.014465357176959515,0.046957746148109436,0.08789549022912979,-0.11820770055055618,2.8177127838134766,3.246220993399162,1259.710783706985,0.5587476491928101,0.35921236872673035,0.08199501037597656,0.12889988720417023,0.003927659709006548,0.3260583281517029
29,0.031029285863041878,0.06428734213113785,0.1240321695804596,-0.12752112746238708,2.029766082763672,2.0718279631964363,624.5493805782799,0.873840868473053,0.08167197555303574,0.044461559504270554,0.03934478387236595,0.0012618907494470477,0.8139843940734863
30,0.015574776567518711,0.06427568942308426,0.10849951207637787,-0.1643611192703247,3.1147239208221436,4.126909245876739,1401.704589458263,0.5001366138458252,0.38221463561058044,0.11753704398870468,0.12100754678249359,0.0048368279822170734,0.24732157588005066
31,0.015332755632698536,0.05736469104886055,0.10904133319854736,-0.14786715805530548,3.1197352409362793,3.741316461261775,1485.9098778808275,0.4546201229095459,0.42096105217933655,0.12426138669252396,0.1273070126771927,0.0044883317314088345,0.21200105547904968
32,0.0179279912263155,0.06428862363100052,0.11741079390048981,-0.3066646158695221,2.6213135719299316,3.585935692173304,1108.691319780187,0.6759302020072937,0.2136964052915573,0.11037198454141617,0.09054834395647049,0.0017589970957487822,0.5473942160606384
33,0.02548697404563427,0.06425338238477707,0.12403217703104019,0.10725824534893036,2.316565990447998,2.5210282816316587,635.720926619551,0.8579791188240051,0.09741265326738358,0.0446074977517128,0.029812393710017204,0.0016611185856163502,0.8052625060081482
34,0.014029361307621002,0.04174201935529709,0.08195250481367111,-0.10243739187717438,2.7337634563446045,2.9753328349770802,1208.5190444305908,0.6042386889457703,0.30629923939704895,0.08936282247304916,0.1389683037996292,0.003827898297458887,0.34603533148765564
35,0.015031380578875542,0.05794332176446915,0.1024213433265686,-0.14626862108707428,3.0328009128570557,3.854823677476797,1599.5853044761013,0.44877851009368896,0.38482344150543213,0.1663946807384491,0.13660947978496552,0.003815786447376013,0.20960158109664917
36,0.01821058988571167,0.06098135560750961,0.1168377548456192,-0.26838117837905884,2.778411388397217,3.348675467784156,1131.118968722616,0.6697162389755249,0.21002063155174255,0.12023401260375977,0.08740181475877762,0.0016459604958072305,0.553566038608551
37,0.014763387851417065,0.053780216723680496,0.09636470675468445,-0.17074386775493622,2.991995334625244,3.642809987876569,1456.7400072331689,0.48038461804389954,0.39761558175086975,0.12196499109268188,0.14051735401153564,0.003965000621974468,0.22574301064014435
38,0.017822526395320892,0.05983031168580055,0.11116492748260498,-0.29181092977523804,2.7508668899536133,3.3570050819591626,1033.7711301461868,0.7119800448417664,0.1892666220664978,0.09873276203870773,0.08559782058000565,0.0020269432570785284,0.569351077079773
39,0.01408378779888153,0.04619435593485832,0.08952069282531738,-0.15067607164382935,2.9585282802581787,3.2799667668414383,1273.846713774147,0.5922967195510864,0.30461642146110535,0.10308010131120682,0.14104899764060974,0.0030629970133304596,0.3380707800388336
40,0.026047930121421814,0.06282510608434677,0.12260983139276505,0.07653174549341202,2.196492910385132,2.4119039704528196,613.2103570401388,0.8623059988021851,0.1019229143857956,0.03576630726456642,0.028780177235603333,0.0012376612285152078,0.8140791058540344
41,0.031032757833600044,0.06431417167186737,0.12403217703104019,-0.1250283569097519,2.0091521739959717,2.07246072085028,622.7644575365987,0.88148033618927,0.0734754204750061,0.04499969258904457,0.040073834359645844,0.0012971695978194475,0.8253076672554016
42,0.015147242695093155,0.0532742403447628,0.10090085864067078,-0.15411518514156342,3.0545058250427246,3.517091619486861,1439.731968567431,0.5089519619941711,0.36504673957824707,0.1259240210056305,0.12485601752996445,0.0038259236607700586,0.2646719515323639
43,0.014885900542140007,0.05079277232289314,0.09439322352409363,-0.09075292944908142,2.7888541221618652,3.412139707348804,1460.2940828731078,0.46188583970069885,0.42581045627593994,0.11227753758430481,0.13938915729522705,0.0046933311969041824,0.20793989300727844
44,0.017540065571665764,0.0642850324511528,0.11638473719358444,-0.3797973394393921,2.8301336765289307,3.665039459791636,1065.712752910622,0.7041260004043579,0.18970611691474915,0.10613825917243958,0.09348469227552414,0.0016458194004371762,0.5749316215515137
45,0.014810938388109207,0.04961606487631798,0.09468096494674683,-0.02788211777806282,2.725396156311035,3.3499609256900094,1255.7095861525768,0.5640350580215454,0.36010903120040894,0.07544206827878952,0.12640158832073212,0.003095556516200304,0.3241739571094513
46,0.015119241550564766,0.05361077934503555,0.10587915778160095,-0.0076229749247431755,2.752873420715332,3.545864332029744,1351.5483429042474,0.5264342427253723,0.38294491171836853,0.09061108529567719,0.12699316442012787,0.0033058610279113054,0.2723601460456848
47,0.015359707176685333,0.05975539609789848,0.10968273878097534,-0.06330926716327667,2.7850561141967773,3.8903994331813467,1470.7905781212648,0.4845944941043854,0.4359126091003418,0.07949283719062805,0.11593613773584366,0.0028280215337872505,0.2853871285915375
48,0.014363959431648254,0.048911068588495255,0.09381215274333954,-0.11460858583450317,2.9381163120269775,3.4051243891237877,1284.332151959912,0.5568533539772034,0.3536265790462494,0.0894135981798172,0.1350547969341278,0.003436415921896696,0.3241542875766754
49,0.030606864020228386,0.0642993152141571,0.1240321695804596,-0.13181591033935547,2.051600694656372,2.1008135681447215,612.8522669121708,0.880931556224823,0.07604967802762985,0.043018314987421036,0.04391545429825783,0.0010924331145361066,0.8167544007301331
50,0.014717886224389076,0.057202164083719254,0.11233346164226532,-0.06106313690543175,3.059112787246704,3.88657468930849,1554.331549644181,0.4632774591445923,0.37368789315223694,0.16303187608718872,0.14210045337677002,0.003639127826318145,0.2175050526857376
51,0.01527716126292944,0.05403905361890793,0.10114605724811554,-0.08738473057746887,2.858876943588257,3.537244432085581,1402.8487827468853,0.5063477754592896,0.3926631808280945,0.10096858441829681,0.12110228836536407,0.004102142062038183,0.2630214989185333
52,0.025460347533226013,0.06428968906402588,0.1240321695804596,0.07315196841955185,2.2230405807495117,2.5250907898096084,627.5823381317474,0.8638758659362793,0.08627092093229294,0.04985300824046135,0.031912676990032196,0.001292206346988678,0.8111115097999573
53,0.025983816012740135,0.06427347660064697,0.1240321695804596,0.04319213330745697,2.2642083168029785,2.473596509714332,657.9883783935321,0.8496092557907104,0.10598929971456528,0.04439934343099594,0.029824286699295044,0.0018473585369065404,0.7976968884468079
54,0.015316851437091827,0.05803455412387848,0.11218009889125824,-0.07028825581073761,3.0852761268615723,3.7889349752097887,1517.75420662421,0.451060950756073,0.42245087027549744,0.12648740410804749,0.13292649388313293,0.004267173353582621,0.21313977241516113
55,0.014523009769618511,0.06254534423351288,0.11482836306095123,-0.016089240089058876,2.9124221801757812,4.306637895407074,1434.9660704958235,0.5028948187828064,0.36443495750427246,0.13251487910747528,0.14074143767356873,0.004304182715713978,0.24080252647399902
