轮次,判别器损失,生成器对抗损失,生成器特征损失,生成器残差约束损失,生成器总损失,Wasserstein估计,梯度惩罚,判别器更新次数,生成器更新次数
1,-3.5560140858093896,2.445732739926488,0.4709573244607007,0.5397024629292665,6.21608982262788,4.087166118033139,0.053115201803545155,81,27
2,-6.964761451438621,-0.9617308571382805,0.2685583609121817,0.3527025823239927,1.1884995447816673,8.00105032508756,0.1036288820575049,81,27
3,-2.375284244984756,-5.115099650842172,0.06267544951427866,0.10240107222839638,-4.613184045862268,2.603809830583172,0.022852559203144024,81,27
4,-1.1264709558015988,-4.594571431477864,0.020802748837956676,0.039054292978511915,-4.4279542057602495,1.2593628565470378,0.013289189518049912,81,27
5,-0.6893564753326369,-4.513207576892994,0.010113612800422642,0.02073104631293703,-4.432195018838953,0.8189309909019942,0.012957451764471184,81,27
6,-0.48693777547206407,-4.4671712893026845,0.006052164895528996,0.01307406628297435,-4.4186885886722145,0.6271231880894413,0.014018541187576858,81,27
7,-0.4278738942043281,-4.079897845232928,0.004282021170689,0.009061384514940006,-4.045596361160278,0.5717562069127589,0.014388231491601025,81,27
8,-0.3599865874390543,-4.0313145143014415,0.003056997200474143,0.0066322435590404055,-4.006825332288389,0.49483602429613655,0.01348494366961129,81,27
9,-0.3367084327303333,-3.9958051487251565,0.0024492448083711445,0.005451101964960496,-3.976183944278293,0.47229198467584305,0.013558355183053164,81,27
10,-0.3418598274389903,-3.6863711410098605,0.0020827155051476977,0.0046678399408443105,-3.669686061364633,0.46859685874279633,0.01267370310853477,81,27
11,-0.3409229044193103,-3.349220355351766,0.0018727897312837067,0.004208857521276783,-3.334217009720979,0.47245171040664485,0.013152880387173759,81,27
12,-0.35914662333182346,-3.3638639714982776,0.001693776192109066,0.00378285585557697,-3.350294828414917,0.4885205133461658,0.012937388957742556,81,27
13,-0.3558166472264278,-3.754498834963198,0.0015394630393496267,0.003395986536310779,-3.7421661571220115,0.48817920390470526,0.01323625565805461,81,27
14,-0.3180441944687455,-3.7138508249212197,0.0013018138555775363,0.0029980444038907685,-3.7034212748209634,0.44142231234797724,0.012337811848861568,81,27
15,-0.32679254718032885,-3.9239517406181053,0.0011856703786179423,0.002868599525687319,-3.9144520494672985,0.4458500220451826,0.011905747560646248,81,27
16,-0.3076409147477444,-4.256831716608118,0.0011065542564244457,0.002641378289640502,-4.247965989289461,0.4228600013403245,0.011521908765037855,81,27
17,-0.3209669386715065,-4.248031651532209,0.0009850668225057976,0.002512723414434327,-4.240138583713108,0.4234537224710723,0.010248678253480682,81,27
18,-0.2732349808017413,-4.7210991029386165,0.0008647411337329282,0.0022587337298318744,-4.714169908452917,0.3770764433307412,0.01038414640294641,81,27
19,-0.2776369144335205,-5.012507014804417,0.0008003320760542044,0.002190761617384851,-5.006093360759594,0.37133174766728905,0.009369483479172176,81,27
20,-0.27410031726330886,-5.616632726457384,0.0007632372661545458,0.002084848130363281,-5.610516406871654,0.36584180078388734,0.009174148437141635,81,27
21,-0.24852676579245814,-5.88716295030382,0.0006826295791176597,0.0019379673974105605,-5.881692268230297,0.33624904538378303,0.008772228053989417,81,27
22,-0.26327968922294215,-5.842806392245823,0.0006684434095708033,0.0018980253608552394,-5.837449356361672,0.3503506154189875,0.008707092569014172,81,27
23,-0.24943386027474462,-6.247620476616754,0.0006277696509776568,0.0018431726342963953,-6.2425891205116555,0.3306888062276958,0.008125494510211327,81,27
24,-0.23364097579025928,-6.449607389944571,0.0005943870044710046,0.0017617062398198027,-6.444843468842683,0.31566875952261464,0.008202778416927214,81,27
25,-0.22567575250142885,-6.502557736855966,0.0005980877473053557,0.0017465528540520205,-6.497764287171541,0.30427378195303456,0.007859803031969034,81,27
26,-0.2382237771411001,-6.1204860475328235,0.0005653519733136313,0.0017151259256664802,-6.115954664018419,0.31519783867730033,0.007697406199036373,81,27
27,-0.2183758822488196,-6.368464717158565,0.0005302342933309437,0.0016205330741488272,-6.364214773531313,0.29532718658447266,0.00769513050082749,81,27
28,-0.22403300075251378,-6.435477062507912,0.0005429181695001682,0.0016321846611659836,-6.431125517244692,0.3014789922737781,0.007744599102110958,81,27
29,-0.22483518158580051,-6.338155958387587,0.0005450106497543553,0.001631781588205033,-6.333787688502559,0.304218445295169,0.007938326437049259,81,27
30,-0.21630386336718077,-6.712054976710567,0.0005192287994928107,0.0016340722191940855,-6.70789294772678,0.29548768055291824,0.007918381721448198,81,27
31,-0.2505858586526211,-6.691546175214979,0.0005354311412062358,0.0016970426594424578,-6.687254269917806,0.33526063259736993,0.008467477389875754,81,27
32,-0.23821193973223367,-6.5318452870404276,0.00047910614564359465,0.0016026347746244734,-6.528004399052373,0.33058325449625653,0.009237131451681993,81,27
33,-0.25279255514895477,-6.80440417042485,0.0004821400550470032,0.0015563277217249076,-6.800539246311894,0.342428077886134,0.00896355234960347,81,27
34,-0.23268104050262475,-7.3846568708066584,0.0004468329597902657,0.0014067175388508648,-7.381075205626311,0.32678056646276404,0.009409952635681371,81,27
35,-0.23185301139766787,-8.30230391467059,0.0004161106804127081,0.001351776461686111,-8.29896840342769,0.3209528687559528,0.008909985727780028,81,27
36,-0.23388629213527398,-9.149697127165618,0.0004146356778046875,0.0013287317921855935,-9.146373430887857,0.3216955985551999,0.00878093057932953,81,27
37,-0.23114335389784824,-9.595204600581416,0.000395835489379587,0.0012166457405934732,-9.592031796773275,0.3123369805606795,0.00811936265938444,81,27
38,-0.22436301704542136,-10.219742668999565,0.0003708075274954791,0.0011618748928109806,-10.216770419368038,0.3077496893611955,0.008338667041288666,81,27
39,-0.22983391012674498,-10.096689965989855,0.00035257550081479604,0.0011591478100012023,-10.093863663850007,0.30714682590814285,0.007731291663798469,81,27
40,-0.22907704841575505,-10.571928801359954,0.0003463761612591851,0.0011154261559972332,-10.569152266890914,0.3046011041711878,0.007552405632457432,81,27
41,-0.2100790578665005,-11.002735915007415,0.00035035333443105357,0.0011217757343763002,-10.999927520751953,0.2805546654595269,0.007047560860770812,81,27
42,-0.222552149568075,-10.74882122322365,0.00033667807993306606,0.001098205641567431,-10.74612228958695,0.2956935034857856,0.007314135409592662,81,27
43,-0.21243259292325856,-11.727814850983796,0.00033084375522944527,0.0010466769022901576,-11.725162965280038,0.2822210759292414,0.006978848247708362,81,27
44,-0.2227449376641968,-11.559747554637768,0.0003374069772824576,0.0011189556615944537,-11.557042722348813,0.29122847097891347,0.006848353432652391,81,27
45,-0.2110644332420679,-11.556946683813024,0.00031604567926411554,0.0010486901069439395,-11.554412983081958,0.2806129455566406,0.006954851246979318,81,27
46,-0.20789186104580207,-12.203005437497739,0.00031591444847570664,0.0010395981198935598,-12.200472973011157,0.2759108837739921,0.0068019022618960815,81,27
