轮次,判别器损失,生成器对抗损失,生成器特征损失,生成器残差约束损失,生成器总损失,Wasserstein估计,梯度惩罚,判别器更新次数,生成器更新次数
1,-3.5560140858093896,2.445732739926488,0.4709573244607007,0.5397024629292665,6.21608982262788,4.087166118033139,0.0531152018035451,81,27
2,-6.964761451438621,-0.9617308571382804,0.2685583609121817,0.3527025823239927,1.1884995447816673,8.00105032508756,0.1036288820575049,81,27
3,-2.375284244984756,-5.115099650842172,0.0626754495142786,0.1024010722283963,-4.613184045862268,2.603809830583172,0.022852559203144,81,27
4,-1.1264709558015988,-4.594571431477864,0.0208027488379566,0.0390542929785119,-4.4279542057602495,1.2593628565470378,0.0132891895180499,81,27
5,-0.6893564753326369,-4.513207576892994,0.0101136128004226,0.020731046312937,-4.432195018838953,0.8189309909019942,0.0129574517644711,81,27
6,-0.486937775472064,-4.4671712893026845,0.0060521648955289,0.0130740662829743,-4.418688588672215,0.6271231880894413,0.0140185411875768,81,27
7,-0.4278738942043281,-4.079897845232928,0.004282021170689,0.00906138451494,-4.045596361160278,0.5717562069127589,0.014388231491601,81,27
8,-0.3599865874390543,-4.0313145143014415,0.0030569972004741,0.0066322435590404,-4.006825332288389,0.4948360242961365,0.0134849436696112,81,27
9,-0.3367084327303333,-3.995805148725157,0.0024492448083711,0.0054511019649604,-3.976183944278293,0.472291984675843,0.0135583551830531,81,27
10,-0.3418598274389903,-3.686371141009861,0.0020827155051476,0.0046678399408443,-3.669686061364633,0.4685968587427963,0.0126737031085347,81,27
11,-0.3409229044193103,-3.349220355351766,0.0018727897312837,0.0042088575212767,-3.334217009720979,0.4724517104066448,0.0131528803871737,81,27
12,-0.3591466233318234,-3.3638639714982776,0.001693776192109,0.0037828558555769,-3.350294828414917,0.4885205133461658,0.0129373889577425,81,27
13,-0.3558166472264278,-3.754498834963198,0.0015394630393496,0.0033959865363107,-3.742166157122012,0.4881792039047052,0.0132362556580546,81,27
14,-0.3180441944687455,-3.71385082492122,0.0013018138555775,0.0029980444038907,-3.7034212748209634,0.4414223123479772,0.0123378118488615,81,27
15,-0.3267925471803288,-3.923951740618105,0.0011856703786179,0.0028685995256873,-3.9144520494672985,0.4458500220451826,0.0119057475606462,81,27
16,-0.3076409147477444,-4.256831716608118,0.0011065542564244,0.0026413782896405,-4.247965989289461,0.4228600013403245,0.0115219087650378,81,27
17,-0.3209669386715065,-4.248031651532209,0.0009850668225057,0.0025127234144343,-4.240138583713108,0.4234537224710723,0.0102486782534806,81,27
18,-0.2732349808017413,-4.7210991029386165,0.0008647411337329,0.0022587337298318,-4.714169908452917,0.3770764433307412,0.0103841464029464,81,27
19,-0.2776369144335205,-5.012507014804417,0.0008003320760542,0.0021907616173848,-5.006093360759594,0.371331747667289,0.0093694834791721,81,27
20,-0.2741003172633088,-5.616632726457384,0.0007632372661545,0.0020848481303632,-5.610516406871654,0.3658418007838873,0.0091741484371416,81,27
21,-0.2485267657924581,-5.88716295030382,0.0006826295791176,0.0019379673974105,-5.881692268230297,0.336249045383783,0.0087722280539894,81,27
22,-0.2632796892229421,-5.842806392245823,0.0006684434095708,0.0018980253608552,-5.837449356361672,0.3503506154189875,0.0087070925690141,81,27
23,-0.2494338602747446,-6.247620476616754,0.0006277696509776,0.0018431726342963,-6.242589120511656,0.3306888062276958,0.0081254945102113,81,27
24,-0.2336409757902592,-6.449607389944571,0.000594387004471,0.0017617062398198,-6.444843468842683,0.3156687595226146,0.0082027784169272,81,27
25,-0.2256757525014288,-6.502557736855966,0.0005980877473053,0.001746552854052,-6.497764287171541,0.3042737819530345,0.007859803031969,81,27
26,-0.2382237771411001,-6.120486047532824,0.0005653519733136,0.0017151259256664,-6.115954664018419,0.3151978386773003,0.0076974061990363,81,27
27,-0.2183758822488196,-6.368464717158565,0.0005302342933309,0.0016205330741488,-6.364214773531313,0.2953271865844726,0.0076951305008274,81,27
28,-0.2240330007525137,-6.435477062507912,0.0005429181695001,0.0016321846611659,-6.431125517244692,0.3014789922737781,0.0077445991021109,81,27
29,-0.2248351815858005,-6.338155958387587,0.0005450106497543,0.001631781588205,-6.333787688502559,0.304218445295169,0.0079383264370492,81,27
30,-0.2163038633671807,-6.712054976710567,0.0005192287994928,0.001634072219194,-6.70789294772678,0.2954876805529182,0.0079183817214481,81,27
31,-0.2505858586526211,-6.691546175214979,0.0005354311412062,0.0016970426594424,-6.687254269917806,0.3352606325973699,0.0084674773898757,81,27
32,-0.2382119397322336,-6.531845287040428,0.0004791061456435,0.0016026347746244,-6.528004399052373,0.3305832544962565,0.0092371314516819,81,27
33,-0.2527925551489547,-6.80440417042485,0.000482140055047,0.0015563277217249,-6.800539246311894,0.342428077886134,0.0089635523496034,81,27
34,-0.2326810405026247,-7.384656870806658,0.0004468329597902,0.0014067175388508,-7.381075205626311,0.326780566462764,0.0094099526356813,81,27
35,-0.2318530113976678,-8.30230391467059,0.0004161106804127,0.0013517764616861,-8.29896840342769,0.3209528687559528,0.00890998572778,81,27
36,-0.2338862921352739,-9.149697127165618,0.0004146356778046,0.0013287317921855,-9.146373430887856,0.3216955985551999,0.0087809305793295,81,27
37,-0.2311433538978482,-9.595204600581416,0.0003958354893795,0.0012166457405934,-9.592031796773275,0.3123369805606795,0.0081193626593844,81,27
38,-0.2243630170454213,-10.219742668999563,0.0003708075274954,0.0011618748928109,-10.216770419368038,0.3077496893611955,0.0083386670412886,81,27
39,-0.2298339101267449,-10.096689965989857,0.0003525755008147,0.0011591478100012,-10.093863663850009,0.3071468259081428,0.0077312916637984,81,27
40,-0.229077048415755,-10.571928801359954,0.0003463761612591,0.0011154261559972,-10.569152266890914,0.3046011041711878,0.0075524056324574,81,27
41,-0.2100790578665005,-11.002735915007417,0.000350353334431,0.0011217757343763,-10.999927520751951,0.2805546654595269,0.0070475608607708,81,27
42,-0.222552149568075,-10.74882122322365,0.000336678079933,0.0010982056415674,-10.74612228958695,0.2956935034857856,0.0073141354095926,81,27
43,-0.2124325929232585,-11.727814850983796,0.0003308437552294,0.0010466769022901,-11.725162965280038,0.2822210759292414,0.0069788482477083,81,27
44,-0.2227449376641968,-11.559747554637768,0.0003374069772824,0.0011189556615944,-11.557042722348813,0.2912284709789134,0.0068483534326523,81,27
45,-0.2110644332420679,-11.556946683813024,0.0003160456792641,0.0010486901069439,-11.554412983081958,0.2806129455566406,0.0069548512469793,81,27
46,-0.207891861045802,-12.20300543749774,0.0003159144484757,0.0010395981198935,-12.200472973011156,0.2759108837739921,0.006801902261896,81,27
47,-0.2115357566946818,-12.99974858319318,0.0003137604357174,0.0010321305038545,-12.997233355486834,0.2768889062198592,0.0065353148829559,81,27
48,-0.2070426077202514,-12.943336168924969,0.0003064196272235,0.0010218172165979,-12.94087968049226,0.271706015975387,0.0064663408973748,81,27
49,-0.2024792583636295,-12.711627536349829,0.0003205627338805,0.001104908542604,-12.709057560673466,0.266897060253002,0.0064417802280297,81,27
50,-0.2075746520249932,-12.52386004836471,0.0003219233481946,0.0010821404478823,-12.52127922905816,0.2699377154126579,0.0062363064031542,81,27
51,-0.1894947984888229,-12.856507866470904,0.0003155021711588,0.0010822244717187,-12.853978510256168,0.2518834832273883,0.0062388685089248,81,27
52,-0.1913025501977514,-14.12886178051984,0.0003140242258302,0.0010397592214522,-14.126344362894692,0.2529184788833429,0.0061615927829004,81,27
53,-0.1953864173020845,-14.76214783279984,0.0003030541308732,0.0010119537969499,-14.75971832981816,0.2531345390979154,0.0057748122066029,81,27
54,-0.1826581503782007,-15.159667756822374,0.0002936238064042,0.0009482577162863,-15.157314123930757,0.2404072019788954,0.0057749051520209,81,27
55,-0.1863489178595719,-14.868421660529243,0.000318259927789,0.0010557922133658,-14.865870299162689,0.2453731254295066,0.0059024207150264,81,27
56,-0.1836804445878959,-15.096671245716236,0.0002995298553422,0.0010098292841576,-15.094269858466255,0.239269032890414,0.005558858944655,81,27
57,-0.1757832704410876,-16.206473173918546,0.0002778140322469,0.0009556132761106,-16.204246132462114,0.230491202554585,0.0054707930676271,81,27
58,-0.1867517505163028,-16.19375373699047,0.0003020431759068,0.0010206106019689,-16.1913322519373,0.2398363749186197,0.0053084623241038,81,27
59,-0.1690511519066345,-16.279360488609033,0.0002945642977633,0.0009897083056987,-16.276999085037797,0.2237684932755835,0.0054717341216603,81,27
60,-0.1757933390269309,-17.320695523862486,0.0002940554528592,0.0009808149016289,-17.318337970309788,0.228106039541739,0.005231269971571,81,27
61,-0.1839671953592771,-17.87170593826859,0.0002885781901164,0.000968500852145,-17.869392536304616,0.2347969479031033,0.0050829752667427,81,27
62,-0.1755138427295066,-18.251545305605287,0.0002537886671402,0.0009070373791338,-18.24951044718425,0.2254224942054277,0.0049908651803608,81,27
63,-0.1647956315657974,-18.079481054235387,0.0002494251659502,0.0008983807099327,-18.077481234515155,0.2143840789794922,0.0049588447810369,81,27
64,-0.1584598516332514,-18.641352971394856,0.0002619253586831,0.0009841860834664,-18.639252697979963,0.214265517246576,0.0055805664929204,81,27
65,-0.1804923328490537,-18.9930121810348,0.0002626249619492,0.0009431350174256,-18.990906326859086,0.2288226139398268,0.0048330282335411,81,27
66,-0.1663117206620949,-19.563174212420428,0.0002608455171058,0.0009150977830695,-19.56108276932328,0.2210907170801987,0.0054778996481341,81,27
67,-0.177122523755203,-20.16100396050347,0.0002675282774833,0.0009671422659367,-20.15885897035952,0.2273244975525656,0.005020197430614,81,27
68,-0.1691737238455701,-20.05721996448658,0.0002696542085484,0.0009398984386482,-20.055058161417644,0.2176661785737967,0.0048492454167708,81,27
69,-0.167454736928145,-20.776210714269567,0.0002854409971472,0.0009805852077314,-20.773922390407986,0.2177897088321638,0.0050334972041992,81,27
70,-0.1579125313732175,-20.84953103242097,0.0002824487002928,0.0009824984881561,-20.84726672702365,0.2041040820839964,0.004619155064754,81,27
71,-0.1720276142895957,-20.81070977670175,0.0003016146236202,0.0010700033809472,-20.808291399920428,0.2206045551064573,0.0048576941638955,81,27
72,-0.1675623675325402,-21.308192500361688,0.0002900631284487,0.0010146748024487,-21.30586687723796,0.2152369934835551,0.0047674626241334,81,27
73,-0.1696009514048511,-21.214227747034144,0.0003094357326281,0.0010399544553365,-21.211746992888276,0.2168390485975477,0.0047238097327795,81,27
74,-0.1705153117209305,-21.47676029911748,0.000307759215637,0.0010336671516092,-21.47429296705458,0.219233383367091,0.0048718070970664,81,27
75,-0.1588368225198837,-21.89671876695421,0.0003154984819789,0.0010430624695598,-21.894189481382018,0.2021260673617139,0.0043289244583129,81,27
76,-0.1662345068460261,-21.82038639209889,0.0003548333711309,0.0011050182123047,-21.81754204078957,0.2132221975444275,0.0046987690945604,81,27
77,-0.1609101348591071,-22.082564106693976,0.0003624819537098,0.0011391469096351,-22.07965843765824,0.2047827449845679,0.0043872610556628,81,27
78,-0.1592248043068397,-22.696066397207755,0.0003593772804985,0.0011639124433578,-22.69318566498933,0.204271716836058,0.0045046912920143,81,27
79,-0.1440258416818615,-22.97642269840947,0.0003688185560922,0.0012427849600229,-22.973466025458443,0.1873723489266854,0.0043346507023491,81,27
80,-0.157974500393058,-23.60430696275499,0.0004216664259459,0.0013571901837605,-23.600926929050026,0.2022280751922984,0.0044253575644329,81,27
81,-0.1471827905855061,-23.59822690045392,0.000396790209817,0.0012175448484615,-23.595046431929976,0.1880009027174961,0.0040818112384941,81,27
82,-0.1396406033754716,-23.36179323549624,0.0004686900636577,0.0014301373028299,-23.358036677042644,0.1800015060989945,0.0040360902174502,81,27
83,-0.1390947384506831,-23.45005713568793,0.0004428915002521,0.001391421205847,-23.446506924099392,0.1786587797565224,0.0039564041811742,81,27
84,-0.1361489880278154,-23.554177672774703,0.0004065271426009,0.0013752357723812,-23.550918649744105,0.1762274518425082,0.0040078463900926,81,27
85,-0.1354312943179666,-23.686110461199725,0.0004323411035498,0.0014296309737902,-23.682644526163735,0.1706853324984326,0.00352540377378,81,27
86,-0.128893886750311,-23.58345497979058,0.000499416250494,0.0014549781012141,-23.57945258529098,0.1691426406671971,0.0040248754120972,81,27
87,-0.1193250301581474,-23.81203757392036,0.0005365133423496,0.0018116087583756,-23.80773636146828,0.1579437255859375,0.0038618695703737,81,27
88,-0.1229238962915576,-24.16645784731265,0.0005153372120629,0.0016251389838375,-24.162326671459056,0.1602562798394097,0.0037332384007764,81,27
89,-0.1368682709878977,-25.104457007514107,0.0004474057247905,0.001451299650836,-25.10087083887171,0.1722687850763768,0.0035400513996496,81,27
90,-0.1134346431742111,-25.823357122915763,0.0004377322437465,0.0013594830956275,-25.819848519784436,0.1496650319040557,0.0036230388652234,81,27
91,-0.1237380094596265,-26.26059814735695,0.0005841950316809,0.0018139401476623,-26.25591567710594,0.1603902887415003,0.0036652278554637,81,27
92,-0.1169952646035839,-26.73519233421043,0.0005479406951323,0.0016465225446693,-26.73080069930465,0.15143460403254,0.003443933932835,81,27
93,-0.1153716226510795,-26.60686040807653,0.000454320298525,0.0015484779961062,-26.603218149255824,0.1501746472017264,0.0034803024717365,81,27
94,-0.118437553997393,-26.629587244104457,0.000494922450916,0.0015018150119835,-26.625620312160915,0.152411142985026,0.0033973588933018,81,27
95,-0.1115169406719045,-26.82645691765679,0.0004643217808161,0.0012980007881264,-26.822736033686883,0.145133571860231,0.0033616630165021,81,27
96,-0.1112132464179102,-27.214194191826717,0.0005591763032565,0.001630950464729,-27.209712699607568,0.1448087809998312,0.003359553497572,81,27
97,-0.110773996024588,-27.914709797611945,0.0007577915740613,0.0024042361312442,-27.9086356692844,0.1431135719205126,0.0032339575858556,81,27
98,-0.1154840595008414,-27.840495921947337,0.0007410564441535,0.002325567774716,-27.834555873164422,0.1459901597764757,0.0030506100501278,81,27
99,-0.1022384484516985,-27.839359989872687,0.0006779530419778,0.0019414213192821,-27.833926660043225,0.1337125095320336,0.0031474061442516,81,27
100,-0.1083027410470409,-27.57075267367893,0.0005953278752578,0.0019185340885693,-27.565980346114547,0.1392409713179976,0.0030938230633137,81,27
101,-0.108309809256483,-27.825794361255788,0.0005064316404362,0.0014730253024026,-27.821735664650245,0.1378406477563175,0.0029530838465341,81,27
102,-0.0985453035107549,-27.689397741247102,0.0006486499354381,0.0020499877088392,-27.68419823823152,0.1295228181061921,0.0030977514631367,81,27
103,-0.0957468622076658,-28.38786181697139,0.000823165928186,0.0028289307029572,-28.38126239070186,0.1268485504903911,0.0031101688531365,81,27
104,-0.1018029628436506,-28.161436010290075,0.0007309743334728,0.0025750535661009,-28.15557522243924,0.1293710779260706,0.002756811443423,81,27
105,-0.1008864747659291,-28.27865967927156,0.0006460164257549,0.0022102996267171,-28.27348045066551,0.13061198481807,0.002972550963247,81,27
106,-0.1131718148488873,-28.55595221342864,0.0007361890640351,0.0022642391958032,-28.55005130061397,0.1409680637312524,0.0027796249013152,81,27
107,-0.0933900857344269,-29.11798236988209,0.0005699058189444,0.0016925200039555,-29.113414411191588,0.1235667805612823,0.0030176694875721,81,27
108,-0.1011137622466057,-29.546640466760707,0.000589091392747,0.0017641597875842,-29.54191886054145,0.1293242419207537,0.0028210479326339,81,27
109,-0.0954664321961226,-29.449605447274667,0.0007245834449012,0.002177339120492,-29.443797994543004,0.1225522359212239,0.0027085803391664,81,27
110,-0.0844667865722267,-30.127231385972763,0.0007458797529883,0.0021419994343348,-30.121253896642614,0.1104533113079306,0.0025986524609227,81,27
111,-0.0964234606995258,-30.21717276396575,0.0006165196968208,0.0019200880606486,-30.21223103558576,0.1240372834382233,0.0027613822776065,81,27
112,-0.0965405532883273,-29.986920533356844,0.0005162050257678,0.0017569654371106,-29.982782010678893,0.1234452753891179,0.0026904722261759,81,27
113,-0.1023990827049186,-29.86229705810547,0.0005229622523377,0.0016678220881321,-29.858105270950883,0.1297174618567949,0.0027318379057019,81,27
114,-0.086773204387246,-30.558688269721134,0.0005879143082657,0.0021127680601138,-30.553974292896413,0.1122682124008367,0.0025495008111322,81,27
115,-0.0951596926897764,-30.25453977231626,0.0006120060548979,0.0020975113234103,-30.24963336520725,0.1219170652789834,0.0026757372931266,81,27
116,-0.0876959260484134,-30.078766858136213,0.0005376200058014,0.0018371365559114,-30.074456815366396,0.1119461530520592,0.0024250227186173,81,27
117,-0.089566956837604,-30.77903260125054,0.0004388585129399,0.0013747303444823,-30.775515026516384,0.1144576367036795,0.0024890679856014,81,27
118,-0.0883972812903884,-31.453990583066588,0.0004457752543708,0.0012837921924613,-31.450418331004958,0.1128528500780647,0.0024455568837979,81,27
119,-0.0840536853367531,-31.41462417885109,0.0005857810961229,0.0015114422917745,-31.409930335150825,0.1089940247712312,0.0024940339470408,81,27
120,-0.0783622383979367,-31.25174656620732,0.0005279011535027,0.0016559437391589,-31.247515148586697,0.1017947726779514,0.002343253450997,81,27
